,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
0,0002960101,MOS1,S002,6.85597898350729,103.50177001862072,-33.07310952283546,3C465,RADIO GALAXY RADIO LOUD/STEEP SPECT
1,0002960101,MOS2,S003,7.22537382737735,103.50177001862072,-33.07310952283546,3C465,RADIO GALAXY RADIO LOUD/STEEP SPECT
2,0002960101,PN,S001,3.65421066903766,103.50177001862072,-33.07310952283546,3C465,RADIO GALAXY RADIO LOUD/STEEP SPECT
3,0005210101,MOS1,S001,26.003424159805903,234.79867892229038,73.0297599254382,A1367,CLUSTER OF GALAXIES
4,0005210101,MOS2,S002,25.8779183523781,234.79867892229038,73.0297599254382,A1367,CLUSTER OF GALAXIES
5,0005210101,PN,S003,14.9302436070264,234.79867892229038,73.0297599254382,A1367,CLUSTER OF GALAXIES
6,0002970201,MOS1,S001,17.026820054003203,140.25369196491948,-16.77243864481229,3C66B,RADIO GALAXY RADIO LOUD/STEEP SPECT
7,0002970201,MOS2,S002,17.158397546824798,140.25369196491948,-16.77243864481229,3C66B,RADIO GALAXY RADIO LOUD/STEEP SPECT
8,0002970201,PN,S003,13.115390152063998,140.25369196491948,-16.77243864481229,3C66B,RADIO GALAXY RADIO LOUD/STEEP SPECT
9,0002942301,MOS1,S001,7.41214638410107,283.19546967866813,-78.26655490939551,NGC424,SEYFERT RADIO QUIET TYPE 2
10,0002942301,MOS2,S002,7.35518828241053,283.19546967866813,-78.26655490939551,NGC424,SEYFERT RADIO QUIET TYPE 2
11,0002942301,PN,S003,4.2757656104236,283.19546967866813,-78.26655490939551,NGC424,SEYFERT RADIO QUIET TYPE 2
12,0002740301,MOS1,S001,5.209322194268321,294.77502324785166,46.717473727035646,Denis-J1228,BROWN DWARF
13,0002740301,MOS2,S002,5.62449141533011,294.77502324785166,46.717473727035646,Denis-J1228,BROWN DWARF
14,0002740301,PN,U002,2.9222302677923198,294.77502324785166,46.717473727035646,Denis-J1228,BROWN DWARF
15,0007420901,MOS1,S001,7.6818238356996495,311.0421013081068,0.4166546415248508,Galactic Plane 09,EXTENDED GALACTIC OR EXTRAGALACTIC
16,0007420901,MOS2,S002,3.00597923056273,311.0421013081068,0.4166546415248508,Galactic Plane 09,EXTENDED GALACTIC OR EXTRAGALACTIC
17,0007420901,PN,S003,1.666009190224,311.0421013081068,0.4166546415248508,Galactic Plane 09,EXTENDED GALACTIC OR EXTRAGALACTIC
18,0002942401,MOS1,S001,2.1213163516927,149.51469667310548,-13.30594927170616,UGC2608,SEYFERT RADIO QUIET TYPE 2
19,0002942401,MOS2,S002,1.64396988110703,149.51469667310548,-13.30594927170616,UGC2608,SEYFERT RADIO QUIET TYPE 2
20,0002942401,PN,S003,0.590775520912587,149.51469667310548,-13.30594927170616,UGC2608,SEYFERT RADIO QUIET TYPE 2
21,0002740501,MOS1,S001,15.6996855228171,297.34474547228785,-15.881772371450268,Cha-Ha-3,BROWN DWARF
